trial_index,utt_id,split,room_short,rir_gt_name,rir_path_rel,rir_file_path,image_path_abs,image_url,reference_url,prompt,speech_text,stim_T2R_GEN,stim_B1_GEN,stim_B2_GEN,stim_ANCHOR_LP3500
11,4507-16021-0014,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_ce31ccaa.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID06_20171229_S/06/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_ce31ccaa.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/latest_gt/4507-16021-0014__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned high and mid-distance, directed to the right, with the microphone placed low and mid-distance, directed backwards and downwards, capturing direct sound from 4-8 meters away, and early reflections off nearby surfaces.",NOW WHEN HAS HORROR EVER EXCLUDED STUDY,external_data/text2rir_but_mushra/latest_gen/4507-16021-0014__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/4507-16021-0014__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/4507-16021-0014__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/4507-16021-0014__test-clean.wav
12,61-70968-0017,test-clean,CR2,in_a_very_large_hotel_conference_room_with_glass_and_brick_walls_carpeted_floor_and_wooden_ceiling_sound_em_9f9498a1.wav,BUT_ReverbDB/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID04_20170906_S/02/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_very_large_hotel_conference_room_with_glass_and_brick_walls_carpeted_floor_and_wooden_ceiling_sound_em_9f9498a1.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/Hotel_SkalskyDvur_ConferenceRoom2/7.jpg,external_data/text2rir_but_mushra/but_images/Hotel_SkalskyDvur_ConferenceRoom2/7.jpg,external_data/text2rir_but_mushra/latest_gt/61-70968-0017__test-clean.wav,"In a very large hotel conference room with glass and brick walls, carpeted floor, and wooden ceiling, sound emanates from a source positioned low and mid-distance, directed frontward, with the mic placed high above, directed front-left and down, capturing direct sound from 8-16m away, and early reflections off nearby wooden desks and chairs.",I COULD NOT SEE MY BOY INJURED EXCELLENCE FOR BUT DOING HIS DUTY AS ONE OF CUMBERLAND'S SONS,external_data/text2rir_but_mushra/latest_gen/61-70968-0017__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/61-70968-0017__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/61-70968-0017__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/61-70968-0017__test-clean.wav
13,3729-6852-0021,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_positioned_high_and_mid_width_emitting_to_th_9a985b47.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID03_20171229_S/09/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_positioned_high_and_mid_width_emitting_to_th_9a985b47.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/2.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/2.jpg,external_data/text2rir_but_mushra/latest_gt/3729-6852-0021__test-clean.wav,"In a small office with concrete and glass walls, a sound source positioned high and mid-width, emitting to the right, is captured by a microphone placed high and low in width, directed right, with a direct path of 1-2 meters, amidst medium furniture density and background noise.",I THANK HIM AND TAKE MY LEAVE,external_data/text2rir_but_mushra/latest_gen/3729-6852-0021__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/3729-6852-0021__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/3729-6852-0021__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/3729-6852-0021__test-clean.wav
14,3729-6852-0010,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_positioned_high_and_mid_width_directing_soun_06f17666.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID03_20171229_S/15/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_positioned_high_and_mid_width_directing_soun_06f17666.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/9.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/9.jpg,external_data/text2rir_but_mushra/latest_gt/3729-6852-0010__test-clean.wav,"In a small office with concrete and glass walls, a sound source positioned high and mid-width, directing sound to the right, is captured by a microphone placed high and mid-width, angled down and left, with a direct path of 1-2 meters, amidst medium furniture density and background noise.",I NEVER HAD ANY FAMILY,external_data/text2rir_but_mushra/latest_gen/3729-6852-0010__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/3729-6852-0010__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/3729-6852-0010__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/3729-6852-0010__test-clean.wav
15,1284-1180-0012,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_wide_directed_left__d62d1442.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID01_20171225_T/09/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_wide_directed_left__d62d1442.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/latest_gt/1284-1180-0012__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and wide, directed left and level, with the microphone placed low and wide, directed right and level, at a direct-path distance of 0.5-1m, amidst medium furniture density and background noise, with early reflections bouncing off nearby surfaces.",WE HAVE COME FROM A FAR LONELIER PLACE THAN THIS A LONELIER PLACE,external_data/text2rir_but_mushra/latest_gen/1284-1180-0012__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1284-1180-0012__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1284-1180-0012__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1284-1180-0012__test-clean.wav
16,1580-141083-0040,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_mid_width_emitting_fro_78f71fb7.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171227_S/18/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_mid_width_emitting_fro_78f71fb7.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/7.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/7.jpg,external_data/text2rir_but_mushra/latest_gt/1580-141083-0040__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed mid-distance, directed right, with a direct path of 2-4 meters, and early reflections bouncing off nearby surfaces.",ONE HARDLY LIKES TO THROW SUSPICION WHERE THERE ARE NO PROOFS,external_data/text2rir_but_mushra/latest_gen/1580-141083-0040__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1580-141083-0040__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1580-141083-0040__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1580-141083-0040__test-clean.wav
17,1580-141083-0004,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_high_to_the_left_with__8cd63d4a.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID01_20171225_T/05/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_high_to_the_left_with__8cd63d4a.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/latest_gt/1580-141083-0004__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned low and high to the left, with the microphone placed low and mid, directed back-left and up, capturing direct sound from 1-2m away, and early reflections off nearby surfaces.",I HAD TO READ IT OVER CAREFULLY AS THE TEXT MUST BE ABSOLUTELY CORRECT,external_data/text2rir_but_mushra/latest_gen/1580-141083-0004__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1580-141083-0004__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1580-141083-0004__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1580-141083-0004__test-clean.wav
18,672-122797-0031,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_b885f85e.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID06_20171229_S/25/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_b885f85e.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/latest_gt/672-122797-0031__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned high and mid-distance, directed right and level, with the mic placed high, low-depth, and directed front and down, capturing direct sound from 1-2m away, and early reflections off nearby surfaces.",IT BLAZED UP FAMOUSLY HELP HELP,external_data/text2rir_but_mushra/latest_gen/672-122797-0031__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/672-122797-0031__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/672-122797-0031__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/672-122797-0031__test-clean.wav
19,1995-1836-0013,test-clean,CR2,in_a_very_large_hotel_conference_room_with_glass_and_brick_walls_carpeted_floor_and_wooden_ceiling_sound_em_2272fc51.wav,BUT_ReverbDB/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID02_20170906_S/04/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_very_large_hotel_conference_room_with_glass_and_brick_walls_carpeted_floor_and_wooden_ceiling_sound_em_2272fc51.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/Hotel_SkalskyDvur_ConferenceRoom2/2.jpg,external_data/text2rir_but_mushra/but_images/Hotel_SkalskyDvur_ConferenceRoom2/2.jpg,external_data/text2rir_but_mushra/latest_gt/1995-1836-0013__test-clean.wav,"In a very large hotel conference room with glass and brick walls, carpeted floor, and wooden ceiling, sound emanates from a high and distant source positioned above and behind, directed backwards and level, captured by a microphone placed low and far, angled backwards and downwards, with a direct path of 4-8 meters, and early reflections off wooden desks and chairs.",MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,external_data/text2rir_but_mushra/latest_gen/1995-1836-0013__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1995-1836-0013__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1995-1836-0013__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1995-1836-0013__test-clean.wav
20,6930-75918-0015,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_wide_directed_left__2dd35ac1.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID01_20171225_T/31/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_wide_directed_left__2dd35ac1.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/2.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/2.jpg,external_data/text2rir_but_mushra/latest_gt/6930-75918-0015__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and wide, directed left and level, with the microphone placed low and close to a wall, capturing direct sound from 2-4 meters away, as well as early reflections off nearby surfaces.",THUS IT IS THAT THE HONOR OF THREE IS SAVED OUR COUNTRY'S OUR MASTER'S AND OUR OWN,external_data/text2rir_but_mushra/latest_gen/6930-75918-0015__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/6930-75918-0015__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/6930-75918-0015__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/6930-75918-0015__test-clean.wav
21,3570-5695-0014,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_mid_width_emitting_fro_4386bccc.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171229_T/22/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_mid_width_emitting_fro_4386bccc.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/latest_gt/3570-5695-0014__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed high and mid-width, directed downwards, with a direct path of 2-4 meters, and early reflections bouncing off nearby surfaces.",AMONG THE COUNTRY POPULATION ITS PLACE IS TO SOME EXTENT TAKEN BY SAVINGS AND HOME COMFORTS KNOWN THROUGH THE MEDIUM OF NEIGHBORHOOD GOSSIP SUFFICIENTLY TO SERVE THE LIKE GENERAL PURPOSE OF PECUNIARY REPUTE,external_data/text2rir_but_mushra/latest_gen/3570-5695-0014__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/3570-5695-0014__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/3570-5695-0014__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/3570-5695-0014__test-clean.wav
22,7021-79740-0007,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_mid_distance_directed_e6716f63.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID06_20171231_T/05/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_mid_distance_directed_e6716f63.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/9.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/9.jpg,external_data/text2rir_but_mushra/latest_gt/7021-79740-0007__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned high and mid-distance, directed to the right, with the microphone placed low and mid-distance, directed back-left and up, capturing direct sound from 4-8m away, and early reflections off nearby surfaces.",THEN TURNING TO JANE SHE ASKED IN A SOMEWHAT ALTERED TONE HAS SHE BEEN A GOOD GIRL JANE,external_data/text2rir_but_mushra/latest_gen/7021-79740-0007__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/7021-79740-0007__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/7021-79740-0007__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/7021-79740-0007__test-clean.wav
23,5105-28241-0001,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_mid_distance_directed_832fe2ed.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID06_20171231_T/18/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v02.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_mid_distance_directed_832fe2ed.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/5.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/5.jpg,external_data/text2rir_but_mushra/latest_gt/5105-28241-0001__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned high and mid-distance, directed to the right, with the microphone placed mid-distance, directed to the right, capturing direct sound and early reflections off nearby surfaces.",AFTER AN APPRENTICESHIP ON A MERCHANT SHIP HE HAD ENTERED THE IMPERIAL NAVY AND HAD ALREADY REACHED THE RANK OF LIEUTENANT WHEN THE COUNT APPOINTED HIM TO THE CHARGE OF HIS OWN PRIVATE YACHT IN WHICH HE WAS ACCUSTOMED TO SPEND BY FAR THE GREATER PART OF HIS TIME THROUGHOUT THE WINTER GENERALLY CRUISING IN THE MEDITERRANEAN WHILST IN THE SUMMER HE VISITED MORE NORTHERN WATERS,external_data/text2rir_but_mushra/latest_gen/5105-28241-0001__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/5105-28241-0001__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/5105-28241-0001__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/5105-28241-0001__test-clean.wav
24,7176-88083-0025,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_wide_directed_back_and_b406fa90.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID04_20171229_S/13/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_wide_directed_back_and_b406fa90.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/latest_gt/7176-88083-0025__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned low and wide, directed back and right, with the microphone placed mid-width, low in depth, and low in height, directed right, capturing direct sound from 2-4 meters away, and early reflections off nearby surfaces.",AT THE SUDDEN SHARP STING OF IT THE GREAT BIRD TURNED HIS HEAD AND NOTICED FOR THE FIRST TIME THE FISHERMAN STANDING ON THE BANK,external_data/text2rir_but_mushra/latest_gen/7176-88083-0025__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/7176-88083-0025__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/7176-88083-0025__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/7176-88083-0025__test-clean.wav
25,1995-1837-0022,test-clean,CR2,in_a_very_large_hotel_conference_room_with_glass_and_brick_walls_carpeted_floor_and_wooden_ceiling_sound_em_5c0a3012.wav,BUT_ReverbDB/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID03_20170906_S/05/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_very_large_hotel_conference_room_with_glass_and_brick_walls_carpeted_floor_and_wooden_ceiling_sound_em_5c0a3012.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/Hotel_SkalskyDvur_ConferenceRoom2/2.jpg,external_data/text2rir_but_mushra/but_images/Hotel_SkalskyDvur_ConferenceRoom2/2.jpg,external_data/text2rir_but_mushra/latest_gt/1995-1837-0022__test-clean.wav,"In a very large hotel conference room with glass and brick walls, carpeted floor, and wooden ceiling, sound emanates from a source positioned mid-width, mid-depth, and mid-height, directed front-right, with the mic placed low-width, high-depth, and low-height, directed back and up, capturing direct sound from 4-8m away, and early reflections off distant walls and wooden desks.",UP IN THE SICK ROOM ZORA LAY ON THE LITTLE WHITE BED,external_data/text2rir_but_mushra/latest_gen/1995-1837-0022__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1995-1837-0022__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1995-1837-0022__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1995-1837-0022__test-clean.wav
26,260-123286-0008,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__1c1ceac0.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171229_T/07/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__1c1ceac0.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/latest_gt/260-123286-0008__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed mid-distance away, with direct path at 1-2m and left-up orientation, amidst medium furniture density and scattered objects.",THEREFORE DON'T TALK TO ME ABOUT VIEWS AND PROSPECTS,external_data/text2rir_but_mushra/latest_gen/260-123286-0008__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/260-123286-0008__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/260-123286-0008__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/260-123286-0008__test-clean.wav
27,8455-210777-0021,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_2ff657fc.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID06_20171231_T/07/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v02.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_2ff657fc.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/latest_gt/8455-210777-0021__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned high and mid-distance, directed to the right, while a microphone sits low and mid-distance, directed back-right and up, with a direct path of 4-8m, and early reflections bouncing off nearby surfaces.",BUT I MEAN TO HAVE MY INNINGS BEFORE LONG,external_data/text2rir_but_mushra/latest_gen/8455-210777-0021__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/8455-210777-0021__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/8455-210777-0021__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/8455-210777-0021__test-clean.wav
28,1089-134686-0003,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_left_directed_upwa_62455883.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID05_20171229_S/27/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_left_directed_upwa_62455883.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/latest_gt/1089-134686-0003__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned high and left, directed upwards and front-left, with the microphone placed high and right, directed rightwards, capturing direct sound from 2-4 meters away, and early reflections off nearby surfaces.",HELLO BERTIE ANY GOOD IN YOUR MIND,external_data/text2rir_but_mushra/latest_gen/1089-134686-0003__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1089-134686-0003__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1089-134686-0003__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1089-134686-0003__test-clean.wav
29,1089-134691-0012,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_ba70b525.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID06_20171231_T/22/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_high_and_mid_distance_direc_ba70b525.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/5.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/5.jpg,external_data/text2rir_but_mushra/latest_gt/1089-134691-0012__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned high and mid-distance, directed to the right, with the microphone placed mid-distance, high, and directed forward and down, capturing direct sound from 2-4 meters away, and early reflections off nearby surfaces.",IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BEATEN AND IN BEGGAR'S WEEDS THAT THEY WOULD BE GENEROUS TOWARDS HIM LOVING HIM AS THEMSELVES,external_data/text2rir_but_mushra/latest_gen/1089-134691-0012__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/1089-134691-0012__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/1089-134691-0012__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/1089-134691-0012__test-clean.wav
